job_name_jobs_list,company_name,job_page_link,jobs_country_jobs_list,posted_date,deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_time_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date,company_phone,active_job
Drivers,GULF LINK INTERNATIONAL,./jobs?id=6729,Uganda,"Posted : 12 Feb, 2025","Deadline : 12 Mar, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6729,Drivers,GULF LINK INTERNATIONAL,Saudi Arabia,"Feb 12, 2025 - Feb 12, 2027 ",SAR 1200,Domestic Worker,"The candidate must have a valid driver's license, excellent driving skills, and a good knowledge of traffic laws and safety regulations. In this position, the Driver will also be responsible for the upkeep and maintenance of vehicles in their care and any assigned duties.","The candidate must have a valid driver's license, excellent driving skills, and a good knowledge of traffic laws and safety regulations. In this position, the Driver will also be responsible for the upkeep and maintenance of vehicles in their care and any assigned duties.","13 September, 2024",+256-759-372297,False
FEMALE CLEANER,VBC LABOUR EXPERTS LIMITED,./jobs?id=6601,Saudi Arabia,"20 Dec, 2024 - 20 Dec, 2026","Deadline : 11 Jan, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6601,FEMALE CLEANER,VBC LABOUR EXPERTS LIMITED,Saudi Arabia,"Dec 20, 2024 - Dec 20, 2026 ",SAR 1200,Other,"his job is maintaining hygiene of client's house for example. Dust, wash, carpet cleaning, cobweb removing among others","his job is maintaining hygiene of client's house for example. Dust, wash, carpet cleaning, cobweb removing among others						","14 March, 2024",+256-759-130850,False
FEMALE CLEANER,VBC LABOUR EXPERTS LIMITED,./jobs?id=6601,Uganda,"Posted : 20 Dec, 2024","Deadline : 11 Jan, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6601,FEMALE CLEANER,VBC LABOUR EXPERTS LIMITED,Saudi Arabia,"Dec 20, 2024 - Dec 20, 2026 ",SAR 1200,Other,"his job is maintaining hygiene of client's house for example. Dust, wash, carpet cleaning, cobweb removing among others","his job is maintaining hygiene of client's house for example. Dust, wash, carpet cleaning, cobweb removing among others						","14 March, 2024",+256-759-130850,False
Female Cleaners,MILLENIUM LINK LTD,./jobs?id=6640,Saudi Arabia,"17 Jan, 2025 - 17 Jan, 2027","Deadline : 15 Feb, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6640,Female Cleaners,MILLENIUM LINK LTD,Saudi Arabia,"Jan 17, 2025 - Jan 17, 2027 ",SAR 1200,Other,"Undertake tasks of sweeping, sterilizing, mopping, washing, and cleaning rooms, furniture and fittings in offices and establishments according to the tasks assigned to her.","Undertake tasks of sweeping, sterilizing, mopping, washing, and cleaning rooms, furniture and fittings in offices and establishments according to the tasks assigned to her.						","02 July, 2024",+256703427797,False
Female Cleaners,MILLENIUM LINK LTD,./jobs?id=6640,Uganda,"Posted : 17 Jan, 2025","Deadline : 15 Feb, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6640,Female Cleaners,MILLENIUM LINK LTD,Saudi Arabia,"Jan 17, 2025 - Jan 17, 2027 ",SAR 1200,Other,"Undertake tasks of sweeping, sterilizing, mopping, washing, and cleaning rooms, furniture and fittings in offices and establishments according to the tasks assigned to her.","Undertake tasks of sweeping, sterilizing, mopping, washing, and cleaning rooms, furniture and fittings in offices and establishments according to the tasks assigned to her.						","02 July, 2024",+256703427797,False
Female House Driver,ADVON SERVICES UGANDA LIMITED,./jobs?id=6588,Saudi Arabia,"06 Jan, 2025 - 06 Jan, 2027","Deadline : 08 Jan, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6588,Female House Driver,ADVON SERVICES UGANDA LIMITED,Saudi Arabia,"Jan 06, 2025 - Jan 06, 2027 ",SAR 1200,Domestic Worker,Female House Drivers are needed in Saudi Arabia to work for a contract period of 2 years.,Female House Drivers are needed in Saudi Arabia to work for a contract period of 2 years.						,"02 December, 2024",+256-701-122157,False
General Helper,THE NORMANDY COMPANY UGANDA LIMITED,./jobs?id=6603,United Arab Emirates,"10 Jan, 2025 - 10 Jan, 2027","Deadline : 11 Jan, 2025",AED 1320,https://eemis.mglsd.go.ug/jobs?id=6603,General Helper,THE NORMANDY COMPANY UGANDA LIMITED,United Arab Emirates,"Jan 10, 2025 - Jan 10, 2027 ",AED 1320,Other,"General Workers help production workers by performing duties that require less skill, such as supplying or holding materials or tools, and cleaning work areas and equipment.","General Workers help production workers by performing duties that require less skill, such as supplying or holding materials or tools, and cleaning work areas and equipment.						","04 June, 2024",+256-414-531983,False
HELPER,HOREB SERVICES UGANDA LIMITED,./jobs?id=6618,Uganda,"Posted : 07 Jan, 2025","Deadline : 05 Feb, 2025",AED 1250,https://eemis.mglsd.go.ug/jobs?id=6618,HELPER,HOREB SERVICES UGANDA LIMITED,United Arab Emirates,"Jan 07, 2025 - Jan 07, 2027 ",AED 1250,Manufacturing/Production,Complete Proceduction process of Chocolate and Ice Cream and Hlep in the production line of the same.,Complete Proceduction process of Chocolate and Ice Cream and Hlep in the production line of the same.						,"15 April, 2024",+256-772-332939,False
HELPER,HOREB SERVICES UGANDA LIMITED,./jobs?id=6618,United Arab Emirates,"07 Jan, 2025 - 07 Jan, 2027","Deadline : 05 Feb, 2025",AED 1250,https://eemis.mglsd.go.ug/jobs?id=6618,HELPER,HOREB SERVICES UGANDA LIMITED,United Arab Emirates,"Jan 07, 2025 - Jan 07, 2027 ",AED 1250,Manufacturing/Production,Complete Proceduction process of Chocolate and Ice Cream and Hlep in the production line of the same.,Complete Proceduction process of Chocolate and Ice Cream and Hlep in the production line of the same.						,"15 April, 2024",+256-772-332939,False
HOUSE DRIVER,HAYS GENERAL AGENCIES LTD,./jobs?id=6743,Saudi Arabia,"19 Feb, 2025 - 19 Feb, 2027","Deadline : 19 Mar, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6743,HOUSE DRIVER,HAYS GENERAL AGENCIES LTD,Saudi Arabia,"Feb 19, 2025 - Feb 19, 2027 ",SAR 1200,Domestic Worker,	HOUSE DRIVER NEEDED TO WORK IN SAUDI ARABIA,	HOUSE DRIVER NEEDED TO WORK IN SAUDI ARABIA						,"23 August, 2024",+256-786-421148,False
HOUSE DRIVER,HAYS GENERAL AGENCIES LTD,./jobs?id=6743,Uganda,"Posted : 19 Feb, 2025","Deadline : 19 Mar, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6743,HOUSE DRIVER,HAYS GENERAL AGENCIES LTD,Saudi Arabia,"Feb 19, 2025 - Feb 19, 2027 ",SAR 1200,Domestic Worker,	HOUSE DRIVER NEEDED TO WORK IN SAUDI ARABIA,	HOUSE DRIVER NEEDED TO WORK IN SAUDI ARABIA						,"23 August, 2024",+256-786-421148,False
HOUSE MAID,ABUU SHAGGAALA COMPANY LIMITED,./jobs?id=6793,Saudi Arabia,"13 Mar, 2025 - 13 Mar, 2027","Deadline : 09 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6793,HOUSE MAID,ABUU SHAGGAALA COMPANY LIMITED,Saudi Arabia,"Mar 13, 2025 - Mar 13, 2027 ",SAR 900,Domestic Worker,Overview,Overview,"24 January, 2025",+256-704-110429,True
HOUSE MAID,ABUU SHAGGAALA COMPANY LIMITED,./jobs?id=6793,Uganda,"Posted : 13 Mar, 2025","Deadline : 09 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6793,HOUSE MAID,ABUU SHAGGAALA COMPANY LIMITED,Saudi Arabia,"Mar 13, 2025 - Mar 13, 2027 ",SAR 900,Domestic Worker,Overview,Overview,"24 January, 2025",+256-704-110429,False
HOUSE MAID,ALKHAD IMPACT AGENCY LIMITED,./jobs?id=6592,Saudi Arabia,"16 Dec, 2024 - 16 Dec, 2026","Deadline : 10 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6592,HOUSE MAID,ALKHAD IMPACT AGENCY LIMITED,Saudi Arabia,"Dec 16, 2024 - Dec 16, 2026 ",SAR 900,Domestic Worker,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA,HOUSEMAIDS NEEDED TO WORK IN SAUDI ARABIA,"18 July, 2024",+256-701-395712,False
HOUSE MAID,ALSALAM LOGISTICS & CONSULTANCY LIMITED,./jobs?id=6608,Saudi Arabia,"31 Dec, 2024 - 31 Dec, 2026","Deadline : 16 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6608,HOUSE MAID,ALSALAM LOGISTICS & CONSULTANCY LIMITED,Saudi Arabia,"Dec 31, 2024 - Dec 31, 2026 ",SAR 900,Domestic Worker,"To work in a household of the client helping with domestic work such as washing things, cleaning, cooking and looking after children.","To work in a household of the client helping with domestic work such as washing things, cleaning, cooking and looking after children.						","13 March, 2024",+256-414-660825,False
HOUSE MAID,ALSALAM LOGISTICS & CONSULTANCY LIMITED,./jobs?id=6608,Uganda,"Posted : 31 Dec, 2024","Deadline : 16 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6608,HOUSE MAID,ALSALAM LOGISTICS & CONSULTANCY LIMITED,Saudi Arabia,"Dec 31, 2024 - Dec 31, 2026 ",SAR 900,Domestic Worker,"To work in a household of the client helping with domestic work such as washing things, cleaning, cooking and looking after children.","To work in a household of the client helping with domestic work such as washing things, cleaning, cooking and looking after children.						","13 March, 2024",+256-414-660825,False
HOUSE MAID,AUNTHETIC RECRUITMENT CENTER LIMITED,./jobs?id=6812,Uganda,"Posted : 25 Mar, 2025","Deadline : 18 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6812,HOUSE MAID,AUNTHETIC RECRUITMENT CENTER LIMITED,Saudi Arabia,"Mar 25, 2025 - Mar 25, 2027 ",SAR 900,Domestic Worker,The main duties and responsibilities of the Domestic Workers are responsible for keeping residences and commercial establishments clean and tidy,The main duties and responsibilities of the Domestic Workers are responsible for keeping residences and commercial establishments clean and tidy						,"12 October, 2023",+256-782-554654,True
HOUSE MAID,BLACK DIAMOND  RECRUITMENT LIMITED,./jobs?id=6782,Saudi Arabia,"12 Mar, 2025 - 12 Mar, 2027","Deadline : 02 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6782,HOUSE MAID,BLACK DIAMOND  RECRUITMENT LIMITED,Saudi Arabia,"Mar 12, 2025 - Mar 12, 2027 ",SAR 900,Domestic Worker, Domestics worker is required to clean the house and all household chores will be responsible for cleaning and ensuring that this is done on a daily basis, Domestics worker is required to clean the house and all household chores will be responsible for cleaning and ensuring that this is done on a daily basis						,"18 November, 2024",+256-754-281937,False
HOUSE MAID,BLACK DIAMOND  RECRUITMENT LIMITED,./jobs?id=6782,Uganda,"Posted : 12 Mar, 2025","Deadline : 02 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6782,HOUSE MAID,BLACK DIAMOND  RECRUITMENT LIMITED,Saudi Arabia,"Mar 12, 2025 - Mar 12, 2027 ",SAR 900,Domestic Worker, Domestics worker is required to clean the house and all household chores will be responsible for cleaning and ensuring that this is done on a daily basis, Domestics worker is required to clean the house and all household chores will be responsible for cleaning and ensuring that this is done on a daily basis						,"18 November, 2024",+256-754-281937,False
HOUSE MAID,EJM GLOBAL MANPOWER LTD,./jobs?id=6653,Saudi Arabia,"29 Jan, 2025 - 29 Jan, 2027","Deadline : 22 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6653,HOUSE MAID,EJM GLOBAL MANPOWER LTD,Saudi Arabia,"Jan 29, 2025 - Jan 29, 2027 ",SAR 900,Domestic Worker,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,"02 September, 2024",+256-740-000054,False
HOUSE MAID,ELFIRSAN GROUP LIMITED,./jobs?id=6593,Saudi Arabia,"19 Dec, 2024 - 13 Dec, 2048","Deadline : 10 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6593,HOUSE MAID,ELFIRSAN GROUP LIMITED,Saudi Arabia,"Dec 19, 2024 - Dec 13, 2048 ",SAR 900,Domestic Worker,HOUSE MAIDS,HOUSE MAIDS						,"31 May, 2024",+256-393-215483,False
HOUSE MAID,EXPLORER DUBAI LTD,./jobs?id=6811,Saudi Arabia,"24 Mar, 2025 - 24 Mar, 2027","Deadline : 18 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6811,HOUSE MAID,EXPLORER DUBAI LTD,Saudi Arabia,"Mar 24, 2025 - Mar 24, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID						,"25 March, 2025",+256-704-022400,True
HOUSE MAID,EXPLORER DUBAI LTD,./jobs?id=6811,Uganda,"Posted : 24 Mar, 2025","Deadline : 18 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6811,HOUSE MAID,EXPLORER DUBAI LTD,Saudi Arabia,"Mar 24, 2025 - Mar 24, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID						,"16 January, 2025",+256-704-022400,False
HOUSE MAID,EXPLORER DUBAI LTD,./jobs?id=6811,Uganda,"Posted : 24 Mar, 2025","Deadline : 18 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6811,HOUSE MAID,EXPLORER DUBAI LTD,Saudi Arabia,"Mar 24, 2025 - Mar 24, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID						,"25 March, 2025",+256-704-022400,False
HOUSE MAID,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,./jobs?id=6526,Saudi Arabia,"11 Nov, 2024 - 11 Nov, 2026","Deadline : 28 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6526,HOUSE MAID,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,Saudi Arabia,"Nov 11, 2024 - Nov 11, 2026 ",SAR 900,Domestic Worker,HOUSE MIAD,HOUSE MIAD						,"18 July, 2024",+256-755-960507,False
HOUSE MAID,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,./jobs?id=6637,Saudi Arabia,"16 Jan, 2025 - 16 Jan, 2027","Deadline : 30 Jun, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6637,HOUSE MAID,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,Saudi Arabia,"Jan 16, 2025 - Jan 16, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID						,"18 July, 2024",+256-755-960507,True
HOUSE MAID,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,./jobs?id=6637,Uganda,"Posted : 16 Jan, 2025","Deadline : 30 Jun, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6637,HOUSE MAID,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,Saudi Arabia,"Jan 16, 2025 - Jan 16, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID						,"18 July, 2024",+256-755-960507,False
HOUSE MAID,GAYA BAIRNS LTD,./jobs?id=6745,Saudi Arabia,"19 Feb, 2025 - 19 Feb, 2027","Deadline : 20 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6745,HOUSE MAID,GAYA BAIRNS LTD,Saudi Arabia,"Feb 19, 2025 - Feb 19, 2027 ",SAR 900,Domestic Worker,CLEANING AND TIDYING,CLEANING AND TIDYING,"29 April, 2024",+256-782-123123,False
HOUSE MAID,GAYA BAIRNS LTD,./jobs?id=6745,Uganda,"Posted : 19 Feb, 2025","Deadline : 20 Mar, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6745,HOUSE MAID,GAYA BAIRNS LTD,Saudi Arabia,"Feb 19, 2025 - Feb 19, 2027 ",SAR 900,Domestic Worker,CLEANING AND TIDYING,CLEANING AND TIDYING,"29 April, 2024",+256-782-123123,False
HOUSE MAID,GULF LINK INTERNATIONAL,./jobs?id=6625,Saudi Arabia,"14 Jan, 2025 - 14 Jan, 2027","Deadline : 07 Feb, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6625,HOUSE MAID,GULF LINK INTERNATIONAL,Saudi Arabia,"Jan 14, 2025 - Jan 14, 2027 ",SAR 900,Domestic Worker,We are looking to hire a hard-working and trustworthy maid to perform various cleaning duties as required by our clients.,We are looking to hire a hard-working and trustworthy maid to perform various cleaning duties as required by our clients.,"13 September, 2024",+256-759-372297,False
