company_name,company_url_eemis,company_location_companies_page,company_country_companies_page,company_phone_companies_page,company_calendar,logo_link,license_no,start_date_company_page_DDMMYYYY,expiry_date_company_page_DDMMYYYY,company_address_company_page,company_country_company_page,company_phone_company_page,company_email_company_page,active_company,job_name_jobs_list,job_page_link,jobs_country_jobs_list,job_posted_date,job_deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date_MMDDYYYY,company_phone_jobs_page,company_address_country_job_page,active_job,job_start_date_MMDDYYYY,job_end_date_MMDDYYYY,job_salary_currency_job_page,usd_conversion,job_salary_amount_job_page,latitude_company_location_companies_page,longitude_company_location_companies_page,city_company_location_companies_page,country_company_location_companies_page,latitude_company_location_company_page,longitude_company_location_company_page,city_company_location_company_page,country_company_location_company_page,latitude_map,longitude_map,job_length_days,job_length_years
ADVON SERVICES UGANDA LIMITED,https://eemis.mglsd.go.ug/companies/ADVONSERVICESUGANDALIMITED_8664,"KIZUNGU, MAKINDYE",MAKINDYE,+256-701-122157,"14 Dec, 2022 - 13 Mar, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_38_1590061001.jpeg,E22120011,14/12/2022,13/3/2025,"KAMPALA, Kampala, Uganda ",Uganda , +256-701-122157 , ceo@advonservicesuganda.com ,True,Female House Driver,./jobs?id=6588,Saudi Arabia,"06 Jan, 2025 - 06 Jan, 2027","Deadline : 08 Jan, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6588,female house driver,ADVON SERVICES UGANDA LIMITED,Saudi Arabia,SAR 1200,Domestic Worker,Female House Drivers are needed in Saudi Arabia to work for a contract period of 2 years.,Female House Drivers are needed in Saudi Arabia to work for a contract period of 2 years.						,02/12/2024,+256-701-122157,Uganda,False,2025-01-06,2027-01-06,SAR,320.0,1200.0,0.2770622,32.5932013,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2770622,32.5932013,730.0,2.0
AFAQ ALSHARK RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/afaqalsharkrecruitmentoffice_28045464,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-552-100016,"03 Jan, 2024 - 03 Jan, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2162_1700634216.png,SA24010002,03/1/2024,03/1/2026,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-552-100016 , afaqshark@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,24.7169626,46.7115929,,
AFRICAN MANPOWER CONSULT LIMITED,https://eemis.mglsd.go.ug/companies/AFRICANMANPOWERCONSULTLIMITED_205350,Old Kampala Sir Apollo Kagwa Road,,+256-701-786710,"31 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_185_1551878668.jpg,E24050036,31/5/2024,30/5/2026,"Kampala, Uganda ",Uganda , +256-701-786710 , africanmanpower256@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3191297,32.5667561,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3191297,32.5667561,,
AFRISKY INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/AFRISKYINTERNATIONALLIMITED_17496,"WATANTE ROAD, KISAASI, KYANJA, KAMPALA - UGANDA",,+256-392-001959,"06 Nov, 2023 - 05 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_54_1626347390.jpeg,E23110003,06/11/2023,05/11/2025,"Kampala, Uganda ",Uganda , +256-392-001959 , dr@afri-sky.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3798125,32.5982391,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3798125,32.5982391,,
AFRISUN INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/AFRISUNINTERNATIONALLIMITED_369024,PLOT 308 KABUSU GGOMOTOKA RD.,,+256-704-635576,"21 Feb, 2023 - 20 Feb, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_248_1596704152.jpg,E23020009,21/2/2023,20/2/2025,"Kampala, Uganda ",Uganda , +256-704-635576 , afrisuninternational@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2975877,32.5563645,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2975877,32.5563645,,
AFRO ELEPHANT INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/AFROELEPHANTINTERNATIONALLIMITED_9616536,RUBAGA,,+256-784-374353,"02 Nov, 2023 - 01 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1266_1689850075.jpg,E23110001,02/11/2023,01/11/2025,"KAMPALA , UGANDA, Kampala, Uganda ",Uganda , +256-784-374353 , afroelephent2018@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3087385,32.5479178,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3087385,32.5479178,,
AHEEL RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AheelRecruitmentOffice_29490534,Riyadh,,+966-555-441142,"18 Feb, 2024 - 18 Feb, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2217_1707128856.png,SA24020010,18/2/2024,18/2/2026,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-555-441142 , aheelrecruitment@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7135517,46.6752957,SA,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7135517,46.6752957,,
AHMED SALH ALSLHY COMPANY FOR RECRUITMENT,https://eemis.mglsd.go.ug/companies/AhmedSalhAlslhyCompanyforrecruitment_21093750,https://maps.app.goo.gl/oz1Xf6q795XG6Ma97,,+966-507-320500,"05 Jul, 2023 - 05 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1875_1665428126.jpg,SA357,05/7/2023,05/7/2025,"Al Qasim, Saudi Arabia ",Saudi Arabia , +966-507-320500 , ahmedsalhi36@yahoo.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,,,,,26.207826,43.483738,,Saudi Arabia,26.207826,43.483738,,
AHOUD DIDAN ALFAGHAM RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AhoudDidanAlfaghamRecruitmentoffice_22418934,CITY : RIYADH      Address : Saadh district   street :abo obida amer  bn garah,,+966-533-530000,"25 Jul, 2023 - 25 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1933_1672351646.jpeg,SA1044,25/7/2023,25/7/2025,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-533-530000 , ms-2d@hotmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7135517,46.6752957,SA,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7135517,46.6752957,,
AIR BLOW INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/AIRBLOWINTERNATIONALLTD_14452224,107650,,+256-776-658889,"04 Nov, 2024 - 03 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1552_1657720192.jpeg,E24110002,04/11/2024,03/11/2026,"Kampala, Uganda ",Uganda , +256-776-658889 , airblowinternational@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
AIRSWIFT RECRUITMENT COMPANY LTD,https://eemis.mglsd.go.ug/companies/AIRSWIFTRECRUITMENTCOMPANYLTD_12200856,0787665412,,+256-787-665412,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1426_1657791171.png,E24080005,08/8/2024,07/8/2026,"Kampala, Uganda ",Uganda , +256-787-665412 , airswiftrecruitment040@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
AJIB QURTABAH RECRUITMENT COMPANY,https://eemis.mglsd.go.ug/companies/AJIBQURTABAHRECRUITMENTCOMPANY_29119254,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-504-844435,"12 May, 2024 - 12 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2203_1708037770.jpg,SA24050008,12/5/2024,12/5/2026,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-504-844435 , info@aqro.sa ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7169626,46.7115929,,
AL ADHEED RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/ALADHEEDRECRUITMENTOFFICE_6665496,7076 AL SAHABA 13225 RIYADH 4431-ESHBILYA DISTRICT,,+966-535-858512,"02 May, 2023 - 02 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1054_1641913652.jpeg,SA926,02/5/2023,02/5/2025,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-535-858512 , businessstyle2050@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7855954,46.7903444,Al Sahaba Rd,4431,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7855954,46.7903444,,
AL BOUD AL MASI,https://eemis.mglsd.go.ug/companies/AlBoudAlMasi_25338150,"Al Riyadh , Malaz ,Ehsaa St",Ehsaa St,+966-569-666844,"14 Nov, 2023 - 14 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2055_1697624665.png,SA23110007,14/11/2023,14/11/2025,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-569-666844 , d.destination.inc@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.6624446,46.7287761,Riyadh Principality,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.6624446,46.7287761,,
AL GHADEER PRIVATE SECURITY,https://eemis.mglsd.go.ug/companies/AlGhadeerPrivateSecurity_24337176,"Safwan, Basra, Iraq",Iraq,+964-704-256916,"09 May, 2023 - 09 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2014_1681301432.jpeg,IQ23050022,09/5/2023,09/5/2025,"Al Basrah, Iraq ",Iraq , +964-704-256916 , business.development.manager@gsciq.com ,True,,,,,,,,,,,,,,,,,Iraq,False,,,,0.0,0.0,30.1097159,47.7193856,Basra Governorate,Iraq,30.5259953,47.7737891,Basrah,Iraq,30.1097159,47.7193856,,
AL HADAF AL AMTHAL RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/ALHADAFALAMTHALRECRUITMENTOFFICE_20779926,"UNAIZAH, AL QASSIM KSA",AL QASSIM KSA,+966-569-055886,"09 Nov, 2023 - 09 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1861_1665313927.jpg,SA23110005,09/11/2023,09/11/2025,"Al Qasim, Saudi Arabia ",Saudi Arabia , +966-569-055886 , ideal_goal@yahoo.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,26.090731,43.9875457,Al Qassim Province,Saudi Arabia,26.207826,43.483738,,Saudi Arabia,26.090731,43.9875457,,
AL KHALID RECRUITMENT,https://eemis.mglsd.go.ug/companies/ALKHALIDRECRUITMENT_24168294,"4MVA+8HP, Zakho, Iraq",Iraq,+964-751-890996,"09 May, 2023 - 09 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2007_1677134929.jpg,IQ23050023,09/5/2023,09/5/2025,"Baghdad, Iraq ",Iraq , +964-751-890996 , km6943200@gmail.com ,True,,,,,,,,,,,,,,,,,Iraq,False,,,,0.0,0.0,37.1504622,42.6726771,Kurdistan,Iraq,33.315241,44.3660671,Baghdad,Iraq,37.1504622,42.6726771,,
AL MAJAL AL ARABI GROUP,https://eemis.mglsd.go.ug/companies/ALMAJALALARABIGROUP_29517144,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-509-193412,"30 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2218_1707379635.jpeg,SA24050026,30/5/2024,30/5/2026,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-509-193412 , almajalalarabbigroup308@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7169626,46.7115929,,
AL MERIDIAN VENTURES LTD,https://eemis.mglsd.go.ug/companies/AlMeridianVenturesLtd_661344,"Bahai Road, Kampala, أوغندا",أوغندا,+256-703-147062,"02 Apr, 2024 - 01 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/logo_3321561712076731.png,E24040002,02/4/2024,01/4/2026,"Ntinda - Kampala, Kampala, Uganda ",Uganda , +256-703-147062 , almeridianventures1@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3656534,32.5909229,Kampala,Uganda,0.3337535,32.5683826,Kampala,Uganda,0.3656534,32.5909229,,
AL MULHIM RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AlMulhimRecruitmentoffice_12149574,https://goo.gl/maps/krD3ceXZV86JfvJU7,,+966-555-928666,"14 Jun, 2023 - 14 Jun, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1423_1657893314.png,SA458,14/6/2023,14/6/2025,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-555-928666 , info@almulhim.net ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,,,,,23.5681347,50.6793759,,Saudi Arabia,23.5681347,50.6793759,,
AL QABAS RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AlQabasRecruitmentOffice_18733734,"Riyadh, Al Yassmine district",Al Yassmine district,+966-505-944405,"30 Jul, 2023 - 30 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1767_1678631215.jpg,SA1047,30/7/2023,30/7/2025,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-505-944405 , alqabs.com@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.8245095,46.6470272,Riyadh Principality,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.8245095,46.6470272,,
AL QURASHEE LIMITED,https://eemis.mglsd.go.ug/companies/ALQURASHEELIMITED_16854,PLOT 115+160 NSALO ROAD,,+256-755-862481,"30 Jun, 2023 - 29 Jun, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_53_1679386170.jpg,E23060012,30/6/2023,29/6/2025,"KAMPALA, Kampala, Uganda ",Uganda , +256-755-862481 , alqurasheelimited@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3180421,32.5665063,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3180421,32.5665063,,
AL TALBIA RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AlTalbiaRecruitmentOffice_32072064,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-537-800054,"11 Dec, 2024 - 10 Dec, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2312_1726085314.jpg,SA24120012,11/12/2024,10/12/2026,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-537-800054 , altalbia.ksa@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7169626,46.7115929,,
AL TALEB SERVICES LIMITED,https://eemis.mglsd.go.ug/companies/Altalebserviceslimited_641574,"City Council Hospital,, Kampala, Uganda",Uganda,+256-751-822227,"12 Jan, 2024 - 11 Jan, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_327_1618915728.jpg,E24010009,12/1/2024,11/1/2026,"Kampala, Uganda ",Uganda , +256-751-822227 , altalebservicesltd01@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3151692,32.5816313,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
AL WAJEZ RECRUITMENT COMPANY,https://eemis.mglsd.go.ug/companies/ALWAJEZRECRUITMENTCOMPANY_29597046,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-530-924442,"12 May, 2024 - 12 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2221_1707827330.jpeg,SA24050004,12/5/2024,12/5/2026,Saudi Arabia ,Saudi Arabia , +966-530-924442 , alwajez1@gmail.com ,True,,,,,,,,,,,,,,,,,,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.885942,45.079162,,Saudi Arabia,24.7169626,46.7115929,,
AL- SHAOLAH - SMC LIMITED,https://eemis.mglsd.go.ug/companies/AL-SHAOLAH-SMCLIMITED_405600,"Plot 101, Queen Maxima Road Ntinda",Queen Maxima Road Ntinda,+256-702-240475,"09 May, 2023 - 08 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_260_1678107217.jpg,E23050020,09/5/2023,08/5/2025,"Kampala, Uganda ",Uganda , +256-702-240475 , alshoalahsmcltdomar@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3542106,32.6154534,Nakawa,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3542106,32.6154534,,
AL-BURAQ LABOUR EXPORT COMPANY LTD,https://eemis.mglsd.go.ug/companies/AL-BURAQLABOUREXPORTCOMPANYLTD_13972056,BABU MOTORS BUILDING,,+256774028902,"23 Mar, 2023 - 22 Mar, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1526_1666339672.jpeg,E23030003,23/3/2023,22/3/2025,"Wakiso, Uganda ",Uganda , +256774028902 , alburaq.labour@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.398281,32.4797444,Wakiso,Uganda,0.398281,32.4797444,,
AL-FUJAIRAH INTERNATIONAL GROUP,https://eemis.mglsd.go.ug/companies/AL-FUJAIRAHINTERNATIONALGROUP_629856,KADUYU ROAD OPPOSITE FOX WOODS HOTEL .ا,,+256-709-999992,"22 May, 2024 - 21 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_324_1636714529.jpg,E24050016,22/5/2024,21/5/2026,"KAMPALA, Kampala, Uganda ",Uganda , +256-709-999992 , alfajery.recr@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3609334,32.6259833,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3609334,32.6259833,,
AL-MASHYU COMPANY LIMITED,https://eemis.mglsd.go.ug/companies/AL-MASHYUCOMPANYLIMITED_4667544,+256774341610,,+256-704-341610,"28 Oct, 2024 - 27 Oct, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_882_1651239196.png,E24100015,28/10/2024,27/10/2026,"Kampala, Uganda ",Uganda , +256-704-341610 , hassan.rashid44@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
