company_name,company_link,company_location_companiespage,company_phone_x,company_calendar,logo_link,company_name_copg,license_no,start_date,expiry_date,address,phone_no,email,active_company,job_name_jobs_list,job_page_link,jobs_country_jobs_list,posted_date,deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_time_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date,company_phone_y,active_job
ADEL MOHAMMED ALAMRI RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AdelMohammedAlamriRecruitmentOffice_22233750,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",+966-552-111555,"27 Jan, 2025 - 27 Jan, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1925_1715965775.jpeg,ADEL MOHAMMED ALAMRI RECRUITMENT OFFICE,SA25010017,27 January 2025,27 January 2027,"(' P.O Box ', 'Makkah, Saudi Arabia ')", +966-552-111555 , adamri279@gmail.com ,True,,,,,,,,,,,,,,,,,,False
ADVON SERVICES UGANDA LIMITED,https://eemis.mglsd.go.ug/companies/ADVONSERVICESUGANDALIMITED_8664,KIKUMBI,+256-701-122157,"14 Dec, 2022 - 13 Mar, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_38_1590061001.jpeg,ADVON SERVICES UGANDA LIMITED,E22120011,14 December 2022,13 March 2025,"(' P.O BOX 11423, KAMPALA', 'Wakiso, Uganda ')", +256-701-122157 , ceo@advonservicesuganda.com ,False,Female House Driver,./jobs?id=6588,Saudi Arabia,"06 Jan, 2025 - 06 Jan, 2027","Deadline : 08 Jan, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6588,Female House Driver,ADVON SERVICES UGANDA LIMITED,Saudi Arabia,"Jan 06, 2025 - Jan 06, 2027 ",SAR 1200,Domestic Worker,Female House Drivers are needed in Saudi Arabia to work for a contract period of 2 years.,Female House Drivers are needed in Saudi Arabia to work for a contract period of 2 years.						,"02 December, 2024",+256-701-122157,False
ADVON SERVICES UGANDA LIMITED,https://eemis.mglsd.go.ug/companies/ADVONSERVICESUGANDALIMITED_8664,"KIZUNGU, MAKINDYE",+256-701-122157,"14 Dec, 2022 - 13 Mar, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_38_1590061001.jpeg,ADVON SERVICES UGANDA LIMITED,E22120011,14 December 2022,13 March 2025,"(' P.O BOX 11423, KAMPALA', 'Kampala, Uganda ')", +256-701-122157 , ceo@advonservicesuganda.com ,False,Female House Driver,./jobs?id=6588,Saudi Arabia,"06 Jan, 2025 - 06 Jan, 2027","Deadline : 08 Jan, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6588,Female House Driver,ADVON SERVICES UGANDA LIMITED,Saudi Arabia,"Jan 06, 2025 - Jan 06, 2027 ",SAR 1200,Domestic Worker,Female House Drivers are needed in Saudi Arabia to work for a contract period of 2 years.,Female House Drivers are needed in Saudi Arabia to work for a contract period of 2 years.						,"02 December, 2024",+256-701-122157,False
AFAQ ALSHARK RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/afaqalsharkrecruitmentoffice_28045464,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",+966-552-100016,"03 Jan, 2024 - 03 Jan, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2162_1700634216.png,AFAQ ALSHARK RECRUITMENT OFFICE,SA24010002,03 January 2024,03 January 2026,"(' P.O Box ', 'Ash Sharqiyah (Eastern Pr, Saudi Arabia ')", +966-552-100016 , afaqshark@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AFLAK RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AFLAKRECRUITMENTOFFICE_23856216,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",+966-500-839911,"27 Feb, 2025 - 26 Feb, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1994_1672866874.jpeg,AFLAK RECRUITMENT OFFICE,SA25020013,27 February 2025,26 February 2027,"(' P.O Box ', 'Saudi Arabia ')", +966-500-839911 , adlounibob19@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AFRICAN MANPOWER CONSULT LIMITED,https://eemis.mglsd.go.ug/companies/AFRICANMANPOWERCONSULTLIMITED_205350,Old Kampala Sir Apollo Kagwa Road,+256-701-786710,"31 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_185_1551878668.jpg,AFRICAN MANPOWER CONSULT LIMITED,E24050036,31 May 2024,30 May 2026,"(' 35199 KAMPALA', 'Kampala, Uganda ')", +256-701-786710 , africanmanpower256@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AFRISKY INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/AFRISKYINTERNATIONALLIMITED_17496,"WATANTE ROAD, KISAASI, KYANJA, KAMPALA - UGANDA",+256-392-001959,"06 Nov, 2023 - 05 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_54_1626347390.jpeg,AFRISKY INTERNATIONAL LIMITED,E23110003,06 November 2023,05 November 2025,"(' P.O Box 16272', 'Kampala, Uganda ')", +256-392-001959 , dr@afri-sky.com ,True,,,,,,,,,,,,,,,,,,False
AFRISUN INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/AFRISUNINTERNATIONALLIMITED_369024,PLOT 308 KABUSU GGOMOTOKA RD.,+256-704-635576,"21 Feb, 2023 - 20 Feb, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_248_1596704152.jpg,AFRISUN INTERNATIONAL LIMITED,E23020009,21 February 2023,20 February 2025,"(' P.O.BOX 24677', 'Kampala, Uganda ')", +256-704-635576 , afrisuninternational@gmail.com ,False,,,,,,,,,,,,,,,,,,False
AFRO ELEPHANT INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/AFROELEPHANTINTERNATIONALLIMITED_9616536,RUBAGA,+256-784-374353,"02 Nov, 2023 - 01 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1266_1689850075.jpg,AFRO ELEPHANT INTERNATIONAL LIMITED,E23110001,02 November 2023,01 November 2025,"(' P.O.BOX 660, KAMPALA , UGANDA', 'Kampala, Uganda ')", +256-784-374353 , afroelephent2018@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AHEEL RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AheelRecruitmentOffice_29490534,Riyadh,+966-555-441142,"18 Feb, 2024 - 18 Feb, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2217_1707128856.png,AHEEL RECRUITMENT OFFICE,SA24020010,18 February 2024,18 February 2026,"(' P.O Box ', 'Ar Riyad, Saudi Arabia ')", +966-555-441142 , aheelrecruitment@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AHMED SALH ALSLHY COMPANY FOR RECRUITMENT,https://eemis.mglsd.go.ug/companies/AhmedSalhAlslhyCompanyforrecruitment_21093750,https://maps.app.goo.gl/oz1Xf6q795XG6Ma97,+966-507-320500,"05 Jul, 2023 - 05 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1875_1665428126.jpg,AHMED SALH ALSLHY COMPANY FOR RECRUITMENT,SA357,05 July 2023,05 July 2025,"(' P.O Box ', 'Al Qasim, Saudi Arabia ')", +966-507-320500 , ahmedsalhi36@yahoo.com ,True,,,,,,,,,,,,,,,,,,False
AHOUD DIDAN ALFAGHAM RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AhoudDidanAlfaghamRecruitmentoffice_22418934,CITY : RIYADH      Address : Saadh district   street :abo obida amer  bn garah,+966-533-530000,"25 Jul, 2023 - 25 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1933_1672351646.jpeg,AHOUD DIDAN ALFAGHAM RECRUITMENT OFFICE,SA1044,25 July 2023,25 July 2025,"(' P.O Box ', 'Riyadh, Saudi Arabia ')", +966-533-530000 , ms-2d@hotmail.com ,True,,,,,,,,,,,,,,,,,,False
AIR BLOW INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/AIRBLOWINTERNATIONALLTD_14452224,107650,+256-776-658889,"04 Nov, 2024 - 03 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1552_1657720192.jpeg,AIR BLOW INTERNATIONAL LTD,E24110002,04 November 2024,03 November 2026,"(' P.O Box 107650', 'Kampala, Uganda ')", +256-776-658889 , airblowinternational@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AIRSWIFT RECRUITMENT COMPANY LTD,https://eemis.mglsd.go.ug/companies/AIRSWIFTRECRUITMENTCOMPANYLTD_12200856,0787665412,+256-787-665412,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1426_1657791171.png,AIRSWIFT RECRUITMENT COMPANY LTD,E24080005,08 August 2024,07 August 2026,"(' P.O Box 107594', 'Kampala, Uganda ')", +256-787-665412 , airswiftrecruitment040@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AJIB QURTABAH RECRUITMENT COMPANY,https://eemis.mglsd.go.ug/companies/AJIBQURTABAHRECRUITMENTCOMPANY_29119254,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",+966-504-844435,"12 May, 2024 - 12 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2203_1708037770.jpg,AJIB QURTABAH RECRUITMENT COMPANY,SA24050008,12 May 2024,12 May 2026,"(' P.O Box ', 'Riyadh, Saudi Arabia ')", +966-504-844435 , info@aqro.sa ,True,,,,,,,,,,,,,,,,,,False
AL ADHEED RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/ALADHEEDRECRUITMENTOFFICE_6665496,7076 AL SAHABA 13225 RIYADH 4431-ESHBILYA DISTRICT,+966-535-858512,"02 May, 2023 - 02 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1054_1641913652.jpeg,AL ADHEED RECRUITMENT OFFICE,SA926,02 May 2023,02 May 2025,"(' P.O Box ', 'Ar Riyad, Saudi Arabia ')", +966-535-858512 , businessstyle2050@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL BOUD AL MASI,https://eemis.mglsd.go.ug/companies/AlBoudAlMasi_25338150,"Al Riyadh , Malaz ,Ehsaa St",+966-569-666844,"14 Nov, 2023 - 14 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2055_1697624665.png,AL BOUD AL MASI,SA23110007,14 November 2023,14 November 2025,"(' P.O Box ', 'Ar Riyad, Saudi Arabia ')", +966-569-666844 , d.destination.inc@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL GHADEER PRIVATE SECURITY,https://eemis.mglsd.go.ug/companies/AlGhadeerPrivateSecurity_24337176,"Safwan, Basra, Iraq",+964-704-256916,"09 May, 2023 - 09 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2014_1681301432.jpeg,AL GHADEER PRIVATE SECURITY,IQ23050022,09 May 2023,09 May 2025,"(' P.O Box ', 'Al Basrah, Iraq ')", +964-704-256916 , business.development.manager@gsciq.com ,True,,,,,,,,,,,,,,,,,,False
AL HADAF AL AMTHAL RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/ALHADAFALAMTHALRECRUITMENTOFFICE_20779926,"UNAIZAH, AL QASSIM KSA",+966-569-055886,"09 Nov, 2023 - 09 Nov, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1861_1665313927.jpg,AL HADAF AL AMTHAL RECRUITMENT OFFICE,SA23110005,09 November 2023,09 November 2025,"(' P.O Box ', 'Al Qasim, Saudi Arabia ')", +966-569-055886 , ideal_goal@yahoo.com ,True,,,,,,,,,,,,,,,,,,False
AL KHALID RECRUITMENT,https://eemis.mglsd.go.ug/companies/ALKHALIDRECRUITMENT_24168294,"4MVA+8HP, Zakho, Iraq",+964-751-890996,"09 May, 2023 - 09 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2007_1677134929.jpg,AL KHALID RECRUITMENT,IQ23050023,09 May 2023,09 May 2025,"(' P.O Box ', 'Baghdad, Iraq ')", +964-751-890996 , km6943200@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL MAJAL AL ARABI GROUP,https://eemis.mglsd.go.ug/companies/ALMAJALALARABIGROUP_29517144,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",+966-509-193412,"30 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2218_1707379635.jpeg,AL MAJAL AL ARABI GROUP,SA24050026,30 May 2024,30 May 2026,"(' P.O Box ', 'Riyadh, Saudi Arabia ')", +966-509-193412 , almajalalarabbigroup308@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL MERIDIAN VENTURES LTD,https://eemis.mglsd.go.ug/companies/AlMeridianVenturesLtd_661344,"Bahai Road, Kampala, أوغندا",+256-703-147062,"02 Apr, 2024 - 01 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/logo_3321561712076731.png,AL MERIDIAN VENTURES LTD,E24040002,02 April 2024,01 April 2026,"(' 75, Ntinda - Kampala', 'Kampala, Uganda ')", +256-703-147062 , almeridianventures1@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL MULHIM RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AlMulhimRecruitmentoffice_12149574,https://goo.gl/maps/krD3ceXZV86JfvJU7,+966-555-928666,"14 Jun, 2023 - 14 Jun, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1423_1657893314.png,AL MULHIM RECRUITMENT OFFICE,SA458,14 June 2023,14 June 2025,"(' P.O Box ', 'Ash Sharqiyah (Eastern Pr, Saudi Arabia ')", +966-555-928666 , info@almulhim.net ,True,,,,,,,,,,,,,,,,,,False
AL QABAS RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AlQabasRecruitmentOffice_18733734,"Riyadh, Al Yassmine district",+966-505-944405,"30 Jul, 2023 - 30 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1767_1678631215.jpg,AL QABAS RECRUITMENT OFFICE,SA1047,30 July 2023,30 July 2025,"(' P.O Box ', 'Ar Riyad, Saudi Arabia ')", +966-505-944405 , alqabs.com@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL QURASHEE LIMITED,https://eemis.mglsd.go.ug/companies/ALQURASHEELIMITED_16854,PLOT 115+160 NSALO ROAD,+256-755-862481,"30 Jun, 2023 - 29 Jun, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_53_1679386170.jpg,AL QURASHEE LIMITED,E23060012,30 June 2023,29 June 2025,"(' P.O BOX 1944, KAMPALA', 'Kampala, Uganda ')", +256-755-862481 , alqurasheelimited@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL TALBIA RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AlTalbiaRecruitmentOffice_32072064,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",+966-537-800054,"11 Dec, 2024 - 10 Dec, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2312_1726085314.jpg,AL TALBIA RECRUITMENT OFFICE,SA24120012,11 December 2024,10 December 2026,"(' P.O Box ', 'Ar Riyad, Saudi Arabia ')", +966-537-800054 , altalbia.ksa@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL TALEB SERVICES LIMITED,https://eemis.mglsd.go.ug/companies/Altalebserviceslimited_641574,"City Council Hospital,, Kampala, Uganda",+256-751-822227,"12 Jan, 2024 - 11 Jan, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_327_1618915728.jpg,AL TALEB SERVICES LIMITED,E24010009,12 January 2024,11 January 2026,"(' P.O BOX 23650 KAMPALA', 'Kampala, Uganda ')", +256-751-822227 , altalebservicesltd01@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL WAJEZ RECRUITMENT COMPANY,https://eemis.mglsd.go.ug/companies/ALWAJEZRECRUITMENTCOMPANY_29597046,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",+966-530-924442,"12 May, 2024 - 12 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2221_1707827330.jpeg,AL WAJEZ RECRUITMENT COMPANY,SA24050004,12 May 2024,12 May 2026,"(' P.O Box ', 'Saudi Arabia ')", +966-530-924442 , alwajez1@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL- SHAOLAH - SMC LIMITED,https://eemis.mglsd.go.ug/companies/AL-SHAOLAH-SMCLIMITED_405600,"Plot 101, Queen Maxima Road Ntinda",+256-702-240475,"09 May, 2023 - 08 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_260_1678107217.jpg,AL- SHAOLAH - SMC LIMITED,E23050020,09 May 2023,08 May 2025,"(' p.o box11331 ntinda', 'Kampala, Uganda ')", +256-702-240475 , alshoalahsmcltdomar@gmail.com ,False,,,,,,,,,,,,,,,,,,False
AL- SHAOLAH - SMC LIMITED,https://eemis.mglsd.go.ug/companies/AL-SHAOLAH-SMCLIMITED_405600,"Plot 101, Queen Maxima Road Ntinda",+256-702-240475,"09 May, 2023 - 08 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_260_1741852436.jpg,AL- SHAOLAH - SMC LIMITED,E23050020,09 May 2023,08 May 2025,"(' p.o box11331 ntinda', 'Kampala, Uganda ')", +256-702-240475 , alshoalahsmcltdomar@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL-BURAQ LABOUR EXPORT COMPANY LTD,https://eemis.mglsd.go.ug/companies/AL-BURAQLABOUREXPORTCOMPANYLTD_13972056,BABU MOTORS BUILDING,+256774028902,"23 Mar, 2023 - 22 Mar, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1526_1666339672.jpeg,AL-BURAQ LABOUR EXPORT COMPANY LTD,E23030003,23 March 2023,22 March 2025,"(' P. O BOX 108677', 'Wakiso, Uganda ')", +256774028902 , alburaq.labour@gmail.com ,True,,,,,,,,,,,,,,,,,,False
AL-FUJAIRAH INTERNATIONAL GROUP,https://eemis.mglsd.go.ug/companies/AL-FUJAIRAHINTERNATIONALGROUP_629856,KADUYU ROAD OPPOSITE FOX WOODS HOTEL .ا,+256-709-999992,"22 May, 2024 - 21 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_324_1636714529.jpg,AL-FUJAIRAH INTERNATIONAL GROUP,E24050016,22 May 2024,21 May 2026,"(' P.O BOX 3349, KAMPALA', 'Kampala, Uganda ')", +256-709-999992 , alfajery.recr@gmail.com ,True,,,,,,,,,,,,,,,,,,False
