company_name,company_link,company_location_companiespage,company_phone,company_calendar,logo_link,company_name_copg,Licence No :,Start Date :,Expiry Date :,Address :,Phone :,Email :
TERRA TRAIL CONNECT LIMITED,https://eemis.mglsd.go.ug/companies/TERRATRAILCONNECTLIMITED_29757174,KITEBI,+256-775-233152,"Oct 21, 2025 - Oct 20, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_2227_1755505264.jpeg,TERRA TRAIL CONNECT LIMITED,E25100012,21 October 2025,20 October 2027,"(' P.O.BOX 135921, KAMPALA, UGANDA', 'Kampala, Uganda ')", +256-775-233152 , terratrailconnect@gmail.com 
JACKOV RECRUITMENT COMPANY - SMC LIMITED,https://eemis.mglsd.go.ug/companies/JACKOVRECRUITMENTCOMPANY-SMCLIMITED_28619136,"NTINDA, KIWATULE",+256-777-700855,"May 22, 2024 - May 21, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2184_1709110636.jpeg,JACKOV RECRUITMENT COMPANY - SMC LIMITED,E24050020,22 May 2024,21 May 2026,"(' P.O.BOX 136849, AMPALA, UGANDA', 'Kampala, Uganda ')", +256-777-700855 , jackovrecruitmentcompany@gmail.com 
MUWONGE RECRUITMENT AGENCY - SMC LTD,https://eemis.mglsd.go.ug/companies/MUWONGERECRUITMENTAGENCY-SMCLTD_28279446,NATETE BUSEGA,+256-752-964537,"Apr 29, 2024 - Apr 28, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2171_1709979674.jpeg,MUWONGE RECRUITMENT AGENCY - SMC LTD,E24040018,29 April 2024,28 April 2026,"(' P.O.BOX 140149, KAMPALA. UGANDA', 'Kampala, Uganda ')", +256-752-964537 , muwongerecruitment@gmail.com 
MELLITHUR INTERNATIONAL AGENCY LTD,https://eemis.mglsd.go.ug/companies/MELLITHURINTERNATIONALAGENCYLTD_26058336,MUTUNGO P.O.BOX 134605,+256-779-831403,"Oct 28, 2024 - Oct 27, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2084_1724774506.png,MELLITHUR INTERNATIONAL AGENCY LTD,E24100016,28 October 2024,27 October 2026,"(' P.O.BOX 134605', 'Kampala, Uganda ')", +256-779-831403 , info@mellithuragency.com 
FRESAM QUALITY JOB RECRUITERS LTD,https://eemis.mglsd.go.ug/companies/FRESAMQUALITYJOBRECRUITERSLTD_23593734,LUNGUJJA,+256-771-023037,"May 31, 2024 - May 30, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1983_1708516097.jpeg,FRESAM QUALITY JOB RECRUITERS LTD,E24050035,31 May 2024,30 May 2026,"(' P.O.BOX 150066, KAMPALA', 'Kampala, Uganda ')", +256-771-023037 , fresamqualityjobrecruiters@gmail.com 
SHARJA LABOUR INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/SHARJALABOURINTERNATIONALLTD_23026086,BWEYOGERERE  KITO ROAD,+256-773-466668,"Mar 14, 2024 - Mar 13, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1959_1702143812.jpg,SHARJA LABOUR INTERNATIONAL LTD,E24030003,14 March 2024,13 March 2026,"(' P.O.BOX 112908 KAMPALA, UGANDA', 'Wakiso, Uganda ')", +256-773-466668 , sharjalabour@gmail.com 
SHARP INTERNATIONAL EMPLOYMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/SHARPINTERNATIONALEMPLOYMENTAGENCYLTD_16454016,107460 KLA,+256-772-332108,"Mar 25, 2025 - Mar 24, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1656_1721914132.jpg,SHARP INTERNATIONAL EMPLOYMENT AGENCY LTD,E25030014,25 March 2025,24 March 2027,"(' P.O Box 107460', 'Kampala, Uganda ')", +256-772-332108 , sharpinternational256@gmail.com 
RUHAM EAST CONSULTANTS LTD,https://eemis.mglsd.go.ug/companies/RUHAMEASTCONSULTANTSLTD_16216416,111643 Wakiso,+256-772-389102,"Apr 09, 2025 - Apr 08, 2027",https://eemis.mglsd.go.ug/assets/images/brands/placeholder.jpg,RUHAM EAST CONSULTANTS LTD,E25040002,09 April 2025,08 April 2027,"(' P.O BOX 111643', 'Kampala, Uganda ')", +256-772-389102 , ruhameastconsultants@gmail.com 
JAWAL INTERNATIONAL AGENCY LTD,https://eemis.mglsd.go.ug/companies/JAWALINTERNATIONALAGENCYLTD_15398424,108797 KAMPALA,+256-771-627213,"Jul 17, 2025 - Jul 16, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1602_1741866963.jpeg,JAWAL INTERNATIONAL AGENCY LTD,E25070014,17 July 2025,16 July 2027,"(' P.O.BOX 108797, KAMPALA , UGANDA', 'Kampala, Uganda ')", +256-771-627213 , jawalinternationallimited@gmail.com 
GESFLY INTERNATIONAL LINKS LIMITED,https://eemis.mglsd.go.ug/companies/GESFLYINTERNATIONALLINKSLIMITED_15321624,107012 KLA,+256-772-401640,"Sep 23, 2024 - Sep 22, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1598_1658242847.jpg,GESFLY INTERNATIONAL LINKS LIMITED,E24090025,23 September 2024,22 September 2026,"(' P.O.BOX 107012 Kampala-Uganda', 'Kampala, Uganda ')", +256-772-401640 , gesflyinternational@gmail.com 
GOSFORD INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/GOSFORDINTERNATIONALLTD_15302454,"P.O.BOX 108984, KAMPALA",+256-039-255820,"16 Aug, 2024 - 15 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1597_1656076723.png,GOSFORD INTERNATIONAL LTD,E24080018,16 August 2024,15 August 2026,"(' P.O Box 108984', 'Kampala, Uganda ')", +256-039-255820 , gosfordint@gmail.com 
BLACK DIAMOND  RECRUITMENT LIMITED,https://eemis.mglsd.go.ug/companies/BLACKDIAMONDRECRUITMENTLIMITED_15168600,"MUTUNDWE, NALUMUNYE ROAD",+256-754-281937,"18 Nov, 2024 - 17 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1590_1657882969.jpeg,BLACK DIAMOND  RECRUITMENT LIMITED,E24110023,18 November 2024,17 November 2026,"(' 151201 KAMPALA, UGANDA', 'Kampala, Uganda ')", +256-754-281937 , blackDrecruitmentltd@gmail.com 
NASSER RECRUITMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/NASSERRECRUITMENTAGENCYLIMITED_14582886,KYALIWAJALA NAMUGONGO,+256-756-568009,"16 Aug, 2024 - 15 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1559_1668153715.jpg,NASSER RECRUITMENT AGENCY LIMITED,E24080019,16 August 2024,15 August 2026,"(' P.O.BOX 108412 KAMPALA UGANDA', 'Kampala, Uganda ')", +256-756-568009 , nasserrecruitmentagency@gmail.com 
T & N MIRACLE AGENCIES LTD,https://eemis.mglsd.go.ug/companies/TNMIRACLEAGENCIESLTD_14489496,1456 KAMPALA,+256-752-896624,"18 Jul, 2024 - 17 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1554_1655720098.jpg,T & N MIRACLE AGENCIES LTD,E24070010,18 July 2024,17 July 2026,"(' P.O Box 1456', 'Kampala, Uganda ')", +256-752-896624 , miracleagencies22@gmail.com 
TASPER INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/TASPERINTERNATIONALLTD_14470854,NTINDA,+256782123123,"16 Aug, 2024 - 15 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1553_1657010989.jpeg,TASPER INTERNATIONAL LTD,E24080021,16 August 2024,15 August 2026,"(' P.O.BOX 73689 KAMPALA', 'Kampala, Uganda ')", +256782123123 , tasperinternational@gmail.com 
AIR BLOW INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/AIRBLOWINTERNATIONALLTD_14452224,107650,+256-776-658889,"04 Nov, 2024 - 03 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1552_1657720192.jpeg,AIR BLOW INTERNATIONAL LTD,E24110002,04 November 2024,03 November 2026,"(' P.O Box 107650', 'Kampala, Uganda ')", +256-776-658889 , airblowinternational@gmail.com 
TRUSTWORTHY PARTNERS LIMITED,https://eemis.mglsd.go.ug/companies/TRUSTWORTHYPARTNERSLIMITED_14303616,105748 KLA,+256-761-685044,"18 Jul, 2024 - 17 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1544_1652962024.jpg,TRUSTWORTHY PARTNERS LIMITED,E24070007,18 July 2024,17 July 2026,"(' P.O Box NA', 'Kampala, Uganda ')", +256-761-685044 , info.trustworthypartners@gmail.com 
SALEM INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/SALEMINTERNATIONALLIMITED_14248086,26413 KAMPALA,+256-782-361898,"13 Sep, 2024 - 12 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1541_1654340607.jpg,SALEM INTERNATIONAL LIMITED,E24090015,13 September 2024,12 September 2026,"(' P.O Box ', 'Kampala, Uganda ')", +256-782-361898 , salemjd2022@gmail.com 
FRAHA RECRUITMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/FRAHARECRUITMENTAGENCYLIMITED_14137350,LUKADE ROAD KYALIWAJALA,+256-704-022400,"14 Oct, 2024 - 13 Oct, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1535_1659616473.jpg,FRAHA RECRUITMENT AGENCY LIMITED,E24100004,14 October 2024,13 October 2026,"(' P.o.Box 108878, KAMPALA', 'Wakiso, Uganda ')", +256-704-022400 , fraharecruitmentagencyltd@gmail.com 
TWALIF COMPANY LIMITED,https://eemis.mglsd.go.ug/companies/TWALIFCOMPANYLIMITED_14063766,"23862, KAMPALA",+256-701-556298,"18 Feb, 2025 - 17 Feb, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1531_1659534862.jpg,TWALIF COMPANY LIMITED,E25020007,18 February 2025,17 February 2027,"(' P.O BOX 23862 KAMPALA', 'Kampala, Uganda ')", +256-701-556298 , twalifcompanylimited@gmail.com 
HAFIITH ENTERPRISES LTD,https://eemis.mglsd.go.ug/companies/HAFIITHENTERPRISESLTD_14027046,107063,+256-704-110429,"07 Sep, 2025 - 06 Sep, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1529_1669999940.jpeg,HAFIITH ENTERPRISES LTD,E25090003,07 September 2025,06 September 2027,"(' P.O Box 111253', 'Wakiso, Uganda ')", +256-704-110429 , hafiithenterprises@gmail.com 
5 KMG INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/5KMGINTERNATIONALLTD_13862400,OLD KAMPALA,+256-709-696959,"15 Apr, 2024 - 14 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1520_1702655030.jpeg,5 KMG INTERNATIONAL LTD,E24040010,15 April 2024,14 April 2026,"(' P.O.BOX 125574, KAMPALA, UGANDA', 'Kampala, Uganda ')", +256-709-696959 , 5kmgint@gmail.com 
HEIV INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/HEIVINTERNATIONALLTD_13680600,"11402, KAMPALA",+256-754-758845,"09 Apr, 2025 - 08 Apr, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1510_1656940044.jpg,HEIV INTERNATIONAL LTD,E25040001,09 April 2025,08 April 2027,"(' P.O Box ', 'Kampala, Uganda ')", +256-754-758845 , heivinternationallimited22@gmail.com 
PEAK LABOUR GIANTS LIMITED,https://eemis.mglsd.go.ug/companies/PeakLabourGiantsLimited_13500000,Kulambiro Kisasi Road,+256-701-588214,"17 May, 2024 - 16 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1500_1650369075.png,PEAK LABOUR GIANTS LIMITED,E24050013,17 May 2024,16 May 2026,"(' P.O.BOX 106706 KAMPALA', 'Kampala, Uganda ')", +256-701-588214 , peaklabourgiants@gmail.com 
FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/FREEZONEINTERNATIONALRECRUITMENTAGENCYLTD_12965400,105786,+256-755-960507,"18 Jul, 2024 - 17 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1470_1652433865.png,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,E24070013,18 July 2024,17 July 2026,"(' 105786 - KAMPALA', 'Wakiso, Uganda ')", +256-755-960507 , freezoneinternational1@gmail.com 
OPTIVEN UGANDA LIMITED,https://eemis.mglsd.go.ug/companies/OPTIVENUGANDALIMITED_12789600,KITEBI,+256-771-829429,"14 Oct, 2024 - 13 Oct, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1460_1658168856.jpg,OPTIVEN UGANDA LIMITED,E24100003,14 October 2024,13 October 2026,"(' P.O.BOX 3065 KAMPALA UGANDA', 'Kampala, Uganda ')", +256-771-829429 , optivenugandaltd2022@gmail.com 
BABCOOK AND BELLWAY INVESTMENT LTD,https://eemis.mglsd.go.ug/companies/BABCOOKANDBELLWAYINVESTMENTLTD_12649824,NAJJANANKUMBI,+256-782-356690,"18 Nov, 2024 - 17 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1452_1660120807.jpg,BABCOOK AND BELLWAY INVESTMENT LTD,E24110012,18 November 2024,17 November 2026,"(' P.O.BOX 600083, KAMPALA UGANDA', 'Kampala, Uganda ')", +256-782-356690 , babcookandbellway@gmail.com 
CRYSTAL JOBMARTS COMPANY LTD,https://eemis.mglsd.go.ug/companies/CRYSTALJOBMARTSCOMPANYLTD_12580224,"PLOT 1085, SEBOWA ROAD, SEBOWA ZONE, KIWATULE",+256-704-697917,"04 Nov, 2024 - 03 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1448_1652115071.jpg,CRYSTAL JOBMARTS COMPANY LTD,E24110006,04 November 2024,03 November 2026,"(' 102753 KAMPALA', 'Kampala, Uganda ')", +256-704-697917 , crystaljobmartscoltd@gmail.com 
HIREON AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/HIREONAGENCYLIMITED_12338136,RUBAGA,+256-786-702000,"18 Nov, 2024 - 17 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1434_1657657804.jpg,HIREON AGENCY LIMITED,E24110017,18 November 2024,17 November 2026,"(' P.O.BOX 30835 KAMPALA UGANDA', 'Kampala, Uganda ')", +256-786-702000 , hireonagency@gmail.com 
AIRSWIFT RECRUITMENT COMPANY LTD,https://eemis.mglsd.go.ug/companies/AIRSWIFTRECRUITMENTCOMPANYLTD_12200856,0787665412,+256-787-665412,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1426_1657791171.png,AIRSWIFT RECRUITMENT COMPANY LTD,E24080005,08 August 2024,07 August 2026,"(' P.O Box 107594', 'Kampala, Uganda ')", +256-787-665412 , airswiftrecruitment040@gmail.com 
KAGADI RECRUITMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/KAGADIRECRUITMENTAGENCYLIMITED_11592600,"98, KAGADI",+256-789-316605,"19 Jun, 2024 - 18 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1390_1715249231.png,KAGADI RECRUITMENT AGENCY LIMITED,E24060009,19 June 2024,18 June 2026,"(' P.O Box 98, Kagadi', 'Wakiso, Uganda ')", +256-789-316605 , info@kagadirecruitment.com 
IQ PLUS NETWORKS LIMITED,https://eemis.mglsd.go.ug/companies/IQPLUSNETWORKSLIMITED_11409846,"GOGONYA ROAD,NSAMBYA,KAMPALA",+256-414-673647,"23 Sep, 2024 - 22 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1379_1648631814.jpg,IQ PLUS NETWORKS LIMITED,E24090030,23 September 2024,22 September 2026,"(' 101838 KAMPALA', 'Kampala, Uganda ')", +256-414-673647 , info@iqplusnetworks.com 
ALMAHTTA RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/ALMAHTTARECRUITMENTAGENCYLTD_10999896,105868 KAMPALA,+256-787-256547,"23 Aug, 2024 - 22 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1354_1653430442.jpeg,ALMAHTTA RECRUITMENT AGENCY LTD,E24080030,23 August 2024,22 August 2026,"(' P.O Box ', 'Kampala, Uganda ')", +256-787-256547 , almahtta22022@gmail.com 
GOLD SILVER MANAGEMENT - SMC- (U) LIMITED,https://eemis.mglsd.go.ug/companies/GOLDSILVERMANAGEMENT-SMC-ULIMITED_10886454,"113533,KAMPALA",+256-760-598706,"06 Nov, 2025 - 05 Nov, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1347_1669645629.jpg,GOLD SILVER MANAGEMENT - SMC- (U) LIMITED,E25110008,06 November 2025,05 November 2027,"(' 113533, KAMPALA', 'Kampala, Uganda ')", +256-760-598706 , goldsilver.operations@gmail.com 
MIREMBE RECRUITMENT CO. LTD,https://eemis.mglsd.go.ug/companies/MIREMBERECRUITMENTCOLTD_10757526,AT BUYE (MIREMBE HOUSE) ALONG OLD KIRA ROAD (MAMA WA AFRICA CLOSE),+256-759-928917,"13 Sep, 2024 - 12 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1339_1648566382.jpg,MIREMBE RECRUITMENT CO. LTD,E24090016,13 September 2024,12 September 2026,"(' P.O.BOX 108242, KAMPALA', 'Kampala, Uganda ')", +256-759-928917 , miremberecruitment@gmail.com 
ALKHAD IMPACT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/ALKHADIMPACTAGENCYLIMITED_10613400,"RUBAGA ROAD, KAKEEKA, RUBAGA DIVISION, KAMPALA",+256-701-395712,"18 Jul, 2024 - 17 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1330_1651055110.jpeg,ALKHAD IMPACT AGENCY LIMITED,E24070009,18 July 2024,17 July 2026,"(' 106262 KAMPALA', 'Kampala, Uganda ')", +256-701-395712 , alkhadimpact@gmail.com 
SUNLAND AGENCIES LTD,https://eemis.mglsd.go.ug/companies/SUNLANDAGENCIESLTD_10454400,+256702749494,+256-702-749494,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1320_1653905587.jpg,SUNLAND AGENCIES LTD,E24080011,08 August 2024,07 August 2026,"(' P.O Box 1456', 'Kampala, Uganda ')", +256-702-749494 , sunlandagencies@gmail.com 
SUUDI RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/SUUDIRECRUITMENTAGENCYLTD_10328064,"14121, MENGO",+256-702-556069,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1312_1649835219.gif,SUUDI RECRUITMENT AGENCY LTD,E24080008,08 August 2024,07 August 2026,"(' P.O Box 14121, MENGO', 'Kampala, Uganda ')", +256-702-556069 , ssuudirecruitmentagencyltd@gmail.com 
TREASURED ABILITIES INTERNATIONAL AGENCIES LTD,https://eemis.mglsd.go.ug/companies/TREASUREDABILITIESINTERNATIONALAGENCIESLTD_10062150,KIREKA WARD,+256-704-701165,"19 Jun, 2024 - 18 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1295_1715616913.jpeg,TREASURED ABILITIES INTERNATIONAL AGENCIES LTD,E24060010,19 June 2024,18 June 2026,"(' P.O BOX 106449 Kampala', 'Wakiso, Uganda ')", +256-704-701165 , treasuredabilitiesltd256@gmail.com 
KETING TAWAKAL LOGISTICS (U) LTD,https://eemis.mglsd.go.ug/companies/KETINGTAWAKALLOGISTICSULTD_9799704,2889 KLA,+256-704-506555,"23 Sep, 2024 - 22 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1278_1652131951.png,KETING TAWAKAL LOGISTICS (U) LTD,E24090026,23 September 2024,22 September 2026,"(' 2889 Kampala Uganda', 'Wakiso, Uganda ')", +256-704-506555 , kharim_5@yahoo.com 
AROVA REALITY LIMITED,https://eemis.mglsd.go.ug/companies/AROVAREALITYLIMITED_9330054,265889 Kampala,+256-780-209028,"18 Nov, 2024 - 17 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1247_1652967495.jpg,AROVA REALITY LIMITED,E24110013,18 November 2024,17 November 2026,"(' P.O Box 106159', 'Kampala, Uganda ')", +256-780-209028 , arovao@gmail.com 
S.A INTEGRATED STAFFING SERVICES LIMITED,https://eemis.mglsd.go.ug/companies/SAINTEGRATEDSTAFFINGSERVICESLIMITED_9121734,105409,+256-759-666066,"04 Nov, 2024 - 03 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1233_1649250704.jpeg,S.A INTEGRATED STAFFING SERVICES LIMITED,E24110001,04 November 2024,03 November 2026,"(' P.O Box 105409', 'Kampala, Uganda ')", +256-759-666066 , s.a.staffing.services.ltd@gmail.com 
JAKE EMPLOYMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/JAKEEMPLOYMENTAGENCYLIMITED_9018456,34244 KLA,+256-712-496699,"06 Dec, 2024 - 05 Dec, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1226_1724407848.jpg,JAKE EMPLOYMENT AGENCY LIMITED,E24120008,06 December 2024,05 December 2026,"(' P.O. BOX 72117', 'Wakiso, Uganda ')", +256-712-496699 , jakeemploymentagencylimited@gmail.com 
GAMBY CONSULTS LIMITED,https://eemis.mglsd.go.ug/companies/GAMBYCONSULTSLIMITED_8799126,NTINDA,+256782123123,"04 Nov, 2024 - 03 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1211_1653599876.jpeg,GAMBY CONSULTS LIMITED,E24110003,04 November 2024,03 November 2026,"(' P.O BOX 73689 KAMPALA', 'Kampala, Uganda ')", +256782123123 , gambyconsults@gmail.com 
AUNTHETIC RECRUITMENT CENTER LIMITED,https://eemis.mglsd.go.ug/companies/AUNTHETICRECRUITMENTCENTERLIMITED_8784600,NAMUGONGO,+256-782-554654,"21 Oct, 2025 - 20 Oct, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_1210_1690555964.jpeg,AUNTHETIC RECRUITMENT CENTER LIMITED,E25100013,21 October 2025,20 October 2027,"(' P.O.BOX 123848 KAMPALA, UGANDA', 'Kampala, Uganda ')", +256-782-554654 , auntheticrecruitmentcenter@gmail.com 
ELECTRA HR CONSULTANCY - LTD,https://eemis.mglsd.go.ug/companies/ELECTRAHRCONSULTANCY-LTD_8354400,104025 KAMPALA,+256-393-256814,"23 Aug, 2024 - 22 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1180_1646645701.jpg,ELECTRA HR CONSULTANCY - LTD,E24080034,23 August 2024,22 August 2026,"(' 104025 KAMPALA', 'Kampala, Uganda ')", +256-393-256814 , electrahr22@gmail.com 
